order,id,age,sex,ethnicity.simplified,Country.of.birth,Country.of.residence,Nationality,Language,condition,round,age_cat,X,item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,item11,item12,item13,item14,item15,item16,item17,item18,item19,item20,item21,item22,item23,item24,item25,item26,item27,item28,item29,item30,itemred,item31,item32,item33,item34,item35,item36,item37,item38,item39,item40,item41,item42,item43,item44,item45,item46,item47,item48,item49,item50
110,5f594f553dcae718f15d0d57,28,Female,Asian,uk,uk,uk,English,between,2,younger,,france,volskwagen,sunny,tony blair,cadbury milk,spain,labour,cocktail,2022,ladybug,paris,sunbathing,running,vogue,Dec-22,bbc,times,1,everest,minesweeper,sainsbury's,gary lineker,coat,nigeria,take that,eiffel tower,orchid,shell,rose,bonnet,na,english,christmas,come fly with me,dancing,cricket,jive,joules,tracy,thames,cooking,great expectations,buckingham palace,its a wonderful life,american dollar,bleach,lawyer,plants,mints,corgi,dancing_out
111,5f5b2c8452a9212388fa88db,64,Female,Mixed,uk,uk,uk,English,within,1,older,,france,toyota,snowy,napoleon,cadbury milk,greece,conservative,beer,2022,ant,paris,swimming,running,tatler,25-Dec,bbc,the sun,6,eiger,crash bandicoot,tesco,linford christie,top,tanzania,slade,lands end,fern,shell,aster,engine,na,english,christmas,merry xmas,drinking_party,running,waltz,tesco,julie,amazon,vacuuming,grand sophie,bank of england,shane,euro,sponge,doctor,trees,sandwich,labrador,dancing_out
112,5f5b2c8452a9212388fa88db,64,Female,Mixed,uk,uk,uk,English,between,2,older,,france,toyota,snowy,hitler,snickers,france,labour,beer,1989,fly,paris,swimming,running,tatler,25-Dec,bbc,times,3,snowdonia,candy crush,tesco,ronaldo,jeans,egypt,the weeknd,john o groats,fern,sand,daffodils ,engine,na,art,birthday,blinding lights,dancing,running,lambada,h&m,susan,thames,cleaning,1984,house of parliament,james bond,american dollar,basin,accountant,grass,noodles,doodle,watch a film
113,5f71d4f530efc0058ab5baa4,29,Male,White,uk,uk,uk,English,within,1,younger,,france,bmw,rainy,the queen,cadbury milk,spain,labour,beer,2021,spider,london,sunbathing,running,hello!,30-May,netflix,the sun,4,everest,gta,tesco,lewis hamilton ,tshirt,mumbia ,lady gaga ,big ben,sunflower,sand,sunflower,wheel,na,math,birthday,bad romance ,eating cake,f1,macarena,underarmour ,lucy,thames,washing up,harry potter,shard,avatar,american dollar,toilet,manager,flowers,taco,cocker spaniel,drinking_out
114,5f71d4f530efc0058ab5baa4,29,Male,White,uk,uk,uk,English,between,2,younger,,italy,ford,sunny,churchill,galaxy,spain,conservative,wine,2020,spider,london,eating,cycling,tv times,01-Jan,netflix,daily mail,50,tiedia ,solitaire ,asda,ronaldo ,socks,africa,beatles,london eye,lily,sea,daisy,door,na,math,birthday,yellow brick road ,celebrations ,football,macarena,tu,sally ,thames,cleaning,diary ,hospital,avatar,euro,bath,banker,flowers,apple,labrador,drinking_out
115,5fb2b8cdf350e792cc77bbe9,56,Female,White,uk,uk,uk,English,between,1,older,,france,volskwagen,rainy,churchill,cadbury milk,greece,conservative,beer,2000,bee,london,sunbathing,running,cosmopolitan,01-Jan,netflix,times,10,mont blanc,nintendo,tesco,harry kane,top,nigeria,one direction,eiffel tower,rubber plant,sand,daisy,engine,na,math,new year,the national anthem,drinking_party,football,salsa,calvin klein,chloe,thames,cleaning,pride and prejudice,shard,halloween,euro,toothbrush,doctor,grass,ice cream,labrador,dancing_out
116,5fb2b8cdf350e792cc77bbe9,56,Female,White,uk,uk,uk,English,within,2,older,,france,volskwagen,rainy,churchill,milk tray,spain,conservative,wine,2000,ant,paris,sight seeing,walking,vogue,01-Jan,bbc,times,10,snowdonia,space invaders,tesco,mohamed ali,tshirt,nigeria,abba,eiffel tower,rubber plant,sun bed,rose,dashboard,na,math,wedding,national anthem,talking,tennis,ballroom,luis vuitton,alice,amazon,vacuuming,pride and prejudice,shard,forest gump,american dollar,bath,doctor,flowers,ice cream,golden retriever,talk
117,5fc74458251f3e227721687f,27,Female,White,uk,uk,uk,English,within,1,younger,,uk,ford,sunny,henry viii,cadbury milk,greece,labour,beer,2010,spider,london,swimming,running,ok!,25-Dec,netflix,times,50,everest,fifa,tesco,harry kane,top,kenya,ed sheeran,london eye,cactus,sand,rose,wheel,na,math,birthday,jingle bells,dancing,football,jive,asos,jessica,thames,washing up,bible,house of parliament,top gun,euro,toothbrush,teacher,grass,sandwich,labrador,dancing_out
118,5fc74458251f3e227721687f,27,Female,White,uk,uk,uk,English,between,2,younger,,france,volskwagen,rainy,churchill,cadbury milk,spain,labour,gin,1950,spider,london,reading,walking,ok!,25-Dec,bbc,guardian,18,everest,super mario,tesco,ronaldo,top,kenya,madonna,buckingham palace,spider plant,sand,sunflower,wheel,na,math,birthday,happy birthday,dancing,football,ballroom,nike,amy,thames,washing up,charles dickens,buckingham palace,harry potter,euro,toilet,teacher,plants,sandwich,labrador,dancing_out
119,5fd7772607bd47085d6397ff,61,Male,White,uk,uk,uk,English,within,1,older,,uk,ford,sunny,henry viii,mars,spain,conservative,beer,2022,spider,london,swimming,running,cosmopolitan,13-Dec,bbc one,times,8,everest,super mario,tesco,harry kane,tshirt,kenya,beatles,buckingham palace,cactus,pebble,rose,engine,na,english,birthday,merry christmas everybody,dancing,football,jive,hugo boss,susan,thames,ironing,bible,buckingham palace,gone with the wind,france,soap,doctor,plants,ice cream,cocker spaniel,drinking_out
120,5fd7772607bd47085d6397ff,61,Male,White,uk,uk,uk,English,between,2,older,,spain,bmw,sunny,mandela,mars,italy,labour,beer,2022,fly,london,sunbathing,workout at the gym,esquire,13-Dec,netflix,daily mirror,10,ben nevis,call of duty,aldi,tiger woods,jeans,morocco,ed sheeran,trafalgar square,lily,shell,rose,wheel,na,math,birthday,do they know its christmas,drinking_party,football,breakdancing,armani,susan,thames,cleaning,harry potter,big ben,bullet train,spain,toilet,doctor,plants,kebab,pitbull,drinking_out
121,5fd7b5c1b6d6ef043967330c,58,Male,White,uk,uk,uk,English,within,1,older,,france,ford,rainy,einstein,mars,spain,labour,beer,2022,ant,london,sunbathing,running,radio times,12-Dec,bbc one,daily mail,12,everest,tetris,asda,ian botham,tshirt,ethiopia,beatles,tower of london,yukka,sand,daffodils ,engine,na,english,birthday,angels,dancing,football,waltz,levi's,helen,thames,washing up,bible,albert hall,jaws,france,toilet,engineer,snail,pasta,doberman,dinning_out
122,5fd7b5c1b6d6ef043967330c,58,Male,White,uk,uk,uk,English,between,2,older,,france,ford,rainy,einstein,mars,spain,labour,beer,2022,ant,london,swimming,running,hello!,12-Dec,netflix,daily mail,22,everest,call of duty,asda,tyson fury,tshirt,ethiopia,oasis,tower of london,spider plant,shell,orchid,engine,na,math,birthday,angels,dancing,football,waltz,levi's,melissa,thames,vacuuming,bible,albert hall,star wars,yen,toothbrush,engineer,grass,pasta,german shepherd,dinning_out
123,5fdf5df1a4d824782ad3e9e2,64,Female,White,uk,uk,uk,English,within,1,older,,france,rolls toyce,wet,churchill,mars,spain,conservative,gin,2020,bee,paris,sunbathing,jogging,good housekeeping,25-Dec,bbc one,times,100,everest,patience,tesco,andy murray,coat,kenya,beatles,big ben,poinsettia,sand,rose,wheel,na,english,birthday,happy birthday,drinking_party,football,waltz,m&s,karen,thames,cleaning,bible,house of parliament,love actually,franc,soap,police officer,plants,vol au vents,labrador,go to the theatre
124,5fdf5df1a4d824782ad3e9e2,64,Female,White,uk,uk,uk,English,between,2,older,,ukraine,kia,wet,the queen,green & blacks,uae,green,shots,2023,bee,london,go shopping,workout at the gym,men's health,25-Dec,amazon prime,i,100,everest,minecraft,waitrose,harry kane,trainers,egypt,lewis capaldi,statue of liberty,poinsettia,sand,rose,steering wheel,na,media studies,birthday,all i want for christmas is you,meet people,football,waltz,nike,kylie,thames,vacuuming,harry potter,house of parliament,avatar,american dollar,shower,doctor,plants,fish and chips,french bulldog,dancing_out
125,604b9da9b8382c606f144197,62,Female,White,uk,uk,uk,English,within,1,older,,france,ford,snowy,churchill,cadbury milk,spain,conservative,gin,2022,spider,london,sunbathing,running,hello!,05-Nov,bbc,times,2,everest,super mario,tesco,harry kane,top,morocco,adele,buckingham palace,rubber plant,sand,lily,engine,na,english,birthday,happy birthday,dancing,football,cha cha cha,m&s,elizabeth,thames,cleaning,bible,house of parliament,a christmas carol,euro,toothbrush,secretary,flowers,ice cream,staffordshire bull terrier,dinning_out
126,604b9da9b8382c606f144197,62,Female,White,uk,uk,uk,English,between,2,older,,spain,bmw,snowy,mandela,mars,spain,labour,beer,2022,fly,london,sunbathing,workout at the gym,hello!,25-Dec,netflix,the sun,2,everest,gta,tesco,harry kane,top,morocco,taylor swift,buckingham palace,rubber plant,umberella,rose,engine,na,english,christmas,bad habit,dancing,football,cha cha cha,nike,sophia,thames,washing up,why has nobdy told me this before,shard,the stranger,euro,toothbrush,customer service rep,flowers,burger,pug,dancing_out
127,606b10aae68df3560d9843ef,35,Female,White,uk,uk,uk,English,within,1,younger,,france,ford,rainy,hitler,cadbury milk,spain,labour,vodka,2022,fly,london,skiing,cross trainer,hello!,13-Dec,netflix,daily mail,1,ben nevis,gta,tesco,ronaldo,trousers,nigeria,beatles,trafalgar square,cactus,shell,daisy,exhaust,na,english,wedding,imagine,drinking_party,football,cha cha cha,nike,olivia,nile,washing up,bible,house of parliament,love actually,euro,toilet,lawyer,plants,pizza,labrador,drugs
128,606b10aae68df3560d9843ef,35,Female,White,uk,uk,uk,English,between,2,younger,,france,ford,rainy,queen victoria,cadbury milk,spain,conservative,wine,2022,fly,london,sunbathing,running,hello!,13-Dec,bbc,herald,1,ben nevis,fortnite,tesco,ronaldo,blouse,egypt,beatles,trafalgar square,geranium,pebble,dahlia,exhaust,na,math,wedding,let it be,drinking_party,football,cha cha cha,adidas,mary,nile,washing up,bible,house of parliament,gone with the wind,euro,basin,lawyer,plants,pizza,labrador,drinking_out
129,6075b8f5dd5ec434c41b01b8,60,Male,Asian,uk,uk,uk,English,within,1,older,,france,ford,sunny,churchill,cadbury milk,spain,conservative,beer,2000,ant,london,sunbathing,running,radio times,25-Dec,bbc,daily mail,1,everest,space invaders,sainsbury's,geoff hurst,hat,south africa,beatles,trafalgar square,yucca,towel,daffodils ,wheel,na,history,birthday,she loves you (yeah yeah yeah),drinking_party,football,twist,m&s,susan,thames,cleaning,bible,buckingham palace,gone with the wind,american dollar,soap,accountant,spade,hamburger,labrador,dancing_out
130,6075b8f5dd5ec434c41b01b8,60,Male,Asian,uk,uk,uk,English,between,2,older,,france,kia,sunny,churchill,cadbury milk,spain,labour,beer,2022,ant,london,sunbathing,running,ok!,25-Dec,netflix,the sun,1,everest,gta,sainsbury's,harry kane,hat,south africa,taylor swift,trafalgar square,yucca,towel,tulip,wheel,na,history,birthday,happy birthday,dancing,football,hip-hop,uniglo,abigail,thames,cleaning,bible,buckingham palace,batman,euro,floss,website designer,flowers,kebab,labrador,drinking_out
131,60d1c527dcdd3f3b9c47025b,35,Female,White,uk,uk,uk,English,within,2,younger,,spain,vauxhall,snowy,the queen,galaxy,spain,labour,wine,2000,spider,london,sunbathing,running,hello!,25-Dec,netflix,daily mail,10,everest,fifa,tesco,beckham,jeans,egypt,elvis,tower of london,spider plant,sand,rose,engine,na,math,birthday,hello,dancing,football,jive,levi's,rose,thames,vacuuming,pride and prejudice,shard,love actually,american dollar,mirror,doctor,grass,burger,poodle,dancing_out
132,60d1c527dcdd3f3b9c47025b,35,Female,White,uk,uk,uk,English,between,1,younger,,france,ford,rainy,the queen,cadbury milk,italy,conservative,beer,1980,spider,london,reading,running,hello!,25-Dec,bbc,independent,10,everest,sims,tesco,jessica ennis,jeans,egypt,elvis,tower of london,spider plant,sand,rose,engine,na,math,birthday,hello,eating cake,football,disco,levi's,rose,thames,dusting,emma,shard,love actually,euro,toilet,doctor,grass,ice cream,labrador,dancing_out
133,6100409060014f76a485d0d7,59,Female,White,uk,uk,uk,English,within,1,older,,spain,ford,snowy,churchill,cadbury milk,greece,labour,beer,1963,bee,london,sunbathing,running,tatler,25-Dec,bbc one,times,1,alps,minecraft,tesco,harry kane,tshirt,kenya,bon jovi,eiffel tower,spider plant,sand,rose,exhaust,na,history,birthday,summer of 69,drinking_party,football,ceroc,m&s,michelle,thames,washing up,wind in the willows,buckingham palace,jaws,american dollar,toothbrush,doctor,flowers,burger,labrador,go to the theatre
134,6100409060014f76a485d0d7,59,Female,White,uk,uk,uk,English,between,2,older,,france,audi,snowy,churchill,hershey,turkey,conservative,wine,2001,fly,london,swimming,workout at the gym,red,25-Dec,netflix,the sun,1,pyrenees,minecraft,sainsbury's,harry kane,dress,egypt,duran duran,the shard,cactus,parasol,daffodils ,engine,na,math,birthday,all i want for christmas is you,drinking_party,football,ceroc,m&s,susan,thames,vacuuming,lord of the rings,white house,home alone,euro,soap,dentist,birds,sandwich,corgi,dinning_out
135,6114ec24aa7f97ccf407daeb,33,Female,White,uk,uk,uk,English,within,1,younger,,france,toyota,rainy,henry viii,cadbury milk,spain,labour,beer,2000,bee,london,sunbathing,running,cosmopolitan,14-Feb,netflix,metro,100,everest,solitaire,tesco,lewis hamilton,top,nigeria,busted,angel of the north,cactus,shell,rose,wheel,na,english,christmas,hokey cokey,drinking_party,swimming,cancan,superdry,olivia,thames,ironing,harry potter,gherkin,harry potter,euro,toothbrush,teacher,plants,toast,labrador,drinking_out
136,6114ec24aa7f97ccf407daeb,33,Female,White,uk,uk,uk,English,between,2,younger,,italy,bmw,rainy,henry viii,cadbury milk,spain,labour,wine,2000,ant,london,reading,jogging,country life,25-Dec,bbc,metro,100,everest,solitaire,tesco,bradley wiggins,top,kenya,abba,big ben,cactus,sand,rose,wheel,na,math,birthday,super trouper,dancing,rugby,waltz,reebok,isobel,thames,ironing,harry potter,big ben,harry potter,euro,toothbrush,teacher,plants,toast,labrador,dinning_out
137,61197cf4d3c4b3fceb5b989e,34,Male,White,uk,uk,uk,English,within,1,younger,,france,audi,rainy,lincoln,cadbury milk,spain,labour,beer,2000,bee,london,sunbathing,workout at the gym,hello!,25-Dec,netflix,guardian,100,etna,super mario,tesco,ronaldo,top,ethiopia,beyonce,eiffel tower,spider plant,shell,daisy,wheel,na,math,birthday,bad romance,dancing,football,cha cha cha,nike,ann,thames,washing up,harry potter,house of parliament,elf,euro,toilet,police officer,insects,hotdog,pug,drinking_out
138,61197cf4d3c4b3fceb5b989e,34,Male,White,uk,uk,uk,English,between,2,younger,,spain,bmw,sunny,churchill,mars,italy,conservative,wine,1964,fly,london,sunbathing,running,hello!,25-Dec,bbc,daily mail,10,etna,tetris,tesco,beckham,coat,ethiopia,beatles,big ben,aloe vera,sand,sunflower,wheel,na,english,birthday,help,dancing,football,foxtrot,george,charlotte,thames,ironing,bible,hospital,et,euro,toilet,doctor,gnome,burger,german shepherd,dancing_out
139,611a8d23c1d17506a23df589,57,Male,White,uk,uk,uk,English,within,1,older,,france,ford,rainy,churchill,mars,spain,labour,beer,2022,spider,london,sunbathing,jogging,vogue,01-Jan,bbc2,guardian,8,everest,snakes,tesco,george best,jeans,morocco,rolling stones,big ben,vine,towel,daisy,bonnet,na,math,christmas,hey jude,dancing,football,foxtrot,armani,stephanie,thames,cleaning,bible,empire state,star wars,american dollar,soap,lecturer,lawnmower,hamburger,poodle,drinking_out
140,611a8d23c1d17506a23df589,57,Male,White,uk,uk,uk,English,between,2,older,,italy,porsche,sunny,mandela,twix,greece,green,wine,2021,fly,new york,eating,workout at the gym,elle,01-Jan,channel 4,metro,9,kilimanjaro,pac-man,sainsbury's, usain bolt,tshirt,nigeria,beatles,the empire state building,tomato plant,sunscreen,bluebell,windscreen,na,art,halloween,bohemian rhapsody,drinking_party,cricket,breakdancing,boss,emma,seine,vacuuming,great expectations,big ben,jaws,yuan,flannel,lawyer,hose pipe,hotdog,labrador,dancing_out
141,611c06063189628b4b4fdd6f,61,Female,White,uk,uk,uk,English,within,1,older,,france,volskwagen,sunny,churchill,cadbury milk,spain,labour,beer,1982,bee,london,swimming,running,heat,25-Dec,bbc,times,8,ben nevis,sims,sainsbury's,boris becker,hat,egypt,u2,big ben,cactus,shell,rose,engine,na,history,birthday,blackbird,drinking_party,football,twist,north face,ann,thames,washing up,far from the madding crowd,eiffel tower,jurassic park,euro,soap,teacher,plants,crisps,cocker spaniel,dancing_out
142,611c06063189628b4b4fdd6f,61,Female,White,uk,uk,uk,English,between,2,older,,spain,fiat,sunny,the queen,galaxy,spain,labour,wine,2020,bee,manchester,sunbathing,workout at the gym,heat,25-Dec,netflix,times,6,ben nevis,sims,aldi,mo farah,jeans,egypt,shires,big ben,cactus,shell,lily,engine,na,math,birthday,skyfall,drinking_party,football,waltz,rockport,amy,thames,cleaning,not sure,shard,elvis,euro,soap,nurse,plants,pizza,cocker spaniel,dancing_out
143,611e283064ad72ef8c6f48cd,30,Female,White,uk,uk,uk,English,between,1,younger,,uk,ford,rainy,anne frank,cadbury milk,spain,conservative,wine,2022,fly,london,sunbathing,workout at the gym,take a break,25-Dec,bbc one,the sun,1,everest,sims,tesco,beckham,trousers,egypt,queen,big ben,cactus,sand,rose,steering wheel,na,english,birthday,happy birthday,eating cake,football,macarena,new look,sarah,nile,washing up,pride and prejudice,empire state,titanic,euro,toilet,doctor,flowers,hotdog,labrador,drinking_out
144,611e283064ad72ef8c6f48cd,30,Female,White,uk,uk,uk,English,within,2,younger,,uk,fiat,sunny,anne frank,cadbury milk,maldives,labour,cocktail,2022,fly,london,sunbathing,workout at the gym,elle,25-Dec,netflix,daily mail,1,everest,fortnite,tesco,ronaldo,dress,egypt,harry styles,big ben,cactus,sand,rose,steering wheel,na,english,birthday,as it were,eating cake,football,ballet,topshop,sarah,nile,vacuuming,harry potter,empire state,harry potter,american dollar,toilet,teacher,flowers,taco,pug,drinking_out
145,612648178dccdcacb45da43c,27,Female,White,uk,uk,uk,English,between,1,younger,,france,hyundai,rainy,churchill,cadbury milk,france,conservative,beer,2022,ant,london,sunbathing,training,heat,13-Dec,bbc,daily mail,1,everest,candy crush,tesco,mo farah,tshirt,nigeria,beatles,stonehenge,fern,towel,daisy,engine,na,math,party,happy birthday,dancing,football,waltz,next,laura,trent,vacuuming,harry potter,big ben,the godfather,euro,toothbrush,nurse,hedgehog,hotdog,labrador,dancing_out
146,612648178dccdcacb45da43c,27,Female,White,uk,uk,uk,English,within,2,younger,,spain,audi,rainy,barrack obama,cadbury milk,spain,labour,beer,2022,ant,london,sunbathing,running,cosmopolitan,13-Dec,netflix,daily mail,1,everest,call of duty,aldi,marcus rashford,jeans,nigeria,ed sheeran,grand canyon,fern,towel,daisy,engine,na,math,party,anti-hero,drinking_party,football,tango,asos,laura,thames,vacuuming,harry potter,big ben,shawshank redemption,american dollar,toothbrush,nurse,hedgehog,hotdog,labrador,dancing_out
147,6149f1d81615b7e69723b517,32,Female,White,uk,uk,uk,English,between,1,younger,,france,ford,rainy,churchill,cadbury milk,spain,labour,beer,2000,ant,london,sunbathing,running,timeout,25-Dec,bbc one,times,1,mont blanc,tetris,tesco,andy murray,tshirt,kenya,coldplay,stonehenge,yukka,sand,tulip,wheel,na,math,wedding,amazing grace,dancing,football,tango,levi's,mary,nile,washing up,harry potter,shard,mary poppins,american dollar,toilet,doctor,grass,banana,poodle,dancing_out
148,6149f1d81615b7e69723b517,32,Female,White,uk,uk,uk,English,within,2,younger,,france,audi,sunny,churchill,cadbury milk,spain,conservative,beer,2000,butterfly,london,swimming,pilates,heat,13-Dec,bbc one,the sun,1,everest,call of duty,tesco,beckham,dress,south africa,ed sheeran,eiffel tower,orchid,sand,rose,wheel,na,english,wedding,happy,dancing,football,jive,zara,olivia,thames,vacuuming,harry potter,burj khalifa,titanic,american dollar,toilet,doctor,grass,chocolate,cockapoo,dancing_out
149,614afe29d2edbc484f004cc6,34,Male,White,uk,uk,uk,English,between,1,younger,,france,ford,rainy,lord nelson,cadbury milk,spain,labour,beer,2012,spider,london,sunbathing,running,cosmopolitan,25-Dec,channel 4,sunday times,12,everest,tomb raider,tesco,gary lineker,top,south africa,duran duran,trafalgar square,spider plant,sand,rose,roof,na,math,birthday,white christmas,drinking_party,football,waltz,levi's,rose,thames,dusting,harry potter,shard,shawshank redemption,euro,toilet,doctor,grass,burger,labrador,drinking_out
150,614afe29d2edbc484f004cc6,34,Male,White,uk,uk,uk,English,within,2,younger,,france,tesla,rainy,hitler,galaxy,spain,labour,beer,2012,spider,london,sunbathing,running,fhm,25-Dec,netflix,guardian,12,everest,fortnite,aldi,ronaldo,top,morocco,ed sheeran,trafalgar square,spider plant,sand,rose,bonnet,na,math,birthday,white christmas,drinking_party,football,waltz,levi's,rose,thames,vacuuming,harry potter,shard,shawshank redemption,american dollar,toilet,doctor,grass,pizza,golden retriever,dancing_out
151,614da66d7f267237bf6d05e6,62,Male,White,uk,uk,uk,English,between,1,older,,france,ford,sunny,jesus,cadbury milk,usa,labour,beer,2020,ant,london,sunbathing,running,the spectator,25-Dec,bbc,times,10,everest,fortnite,tesco,harry kane,jacket,nigeria,adele,trafalgar square,orchid,seaweed,tulip,steering wheel,na,math,birthday,one love,drinking_party,football,salsa,superdry,hannah,thames,vacuuming,harry potter,buckingham palace,top gun,american dollar,toothbrush,builder,watering can,burger,labrador,drinking_out
152,614da66d7f267237bf6d05e6,62,Male,White,uk,uk,uk,English,within,2,older,,spain,ford,rainy,churchill,cadbury milk,spain,conservative,wine,1066,fly,london,sight seeing,workout at the gym,hello!,25-Dec,sky,daily mail,6,everest,space invaders,tesco,lewis hamilton,tshirt,kenya,u2,angel of the north,poinsettia,driftwood,daffodils ,bonnet,na,history,birthday,happy birthday,dancing,cricket,salsa,levi's,sarah,mississippi,washing up,lord of the rings,st paul's cathedral,titanic,american dollar,toothbrush,teacher,flowers,burger,poodle,dinning_out
153,6163077ae8c94d5f135f2bb3,64,Male,White,uk,uk,uk,English,within,1,older,,france,ford,rainy,churchill,mars,spain,labour,beer,1966,ant,london,drink_holiday,walking,radio times,25-Dec,bbc,times,100,everest,fast & furious,asda,gary lineker,coat,nigeria,u2,big ben,yucca,seaweed,daisy,engine,na,math,christmas,god save the king,drinking_party,football,twist,ralph lauren,christine,thames,dusting,bible,empire state,longest day,american dollar,soap,police officer,grass,kebab,collie,dancing_out
154,6163077ae8c94d5f135f2bb3,64,Male,White,uk,uk,uk,English,between,2,older,,france,bmw,snowy,david beckham,twirl,spain,labour,beer,2000,bee,manchester,sunbathing,workout at the gym,heat,25-Dec,netflix,the sun,2,everest,call of duty,tesco,harry kane,tshirt,south africa,pink,buckingham palace,yucca,towel,daisy,engine,na,math,birthday,footballs coming home,drinking_party,football,waltz,hugo boss,donna,thames,vacuuming,bible,buckingham palace,godfather,euro,shampoo,call centre,weeds,kebab,french bulldog,drugs
155,6171a2b0fe9fb7af0052c2c2,31,Male,White,uk,uk,uk,English,within,1,younger,,uk,ford,sunny,the queen,cadbury milk,spain,labour,beer,2022,bee,london,sunbathing,running,heat,25-Dec,netflix,the sun,1,snowdonia,call of duty,tesco,harry kane,top,kenya,arctic monkeys,stonehenge,aloe vera,sand,sunflower,engine,na,english,birthday,bohemian rhapsody,drinking_party,football,breakdancing,nike,rachael,thames,cleaning,dictionary,white house,shaun of the dead,american dollar,toothbrush,accountant,flowers,hotdog,labrador,drinking_out
156,6171a2b0fe9fb7af0052c2c2,31,Male,White,uk,uk,uk,English,between,2,younger,,spain,ford,sunny,the queen,cadbury milk,spain,labour,beer,2022,spider,london,eating,workout at the gym,heat,25-Dec,bbc,guardian,1,everest,fortnight,tesco,harry kane,top,kenya,queen,stonehenge,aloe vera,sand,rose,engine,na,english,birthday,bohemian rhapsody,drinking_party,football,samba,next,elizabeth,thames,cleaning,dictionary,white house,shawshank redemption,american dollar,toothbrush,accountant,flowers,hotdog,labrador,drinking_out
157,61f2adcea09e72f23cbaf96a,34,Male,White,germany,uk,uk,English,within,1,younger,,germany,mercedes,rainy,einstein,cadbury milk,italy,labour,beer,2002,ant,london,sunbathing,running,ok!,04-Jul,disney+,the sun,27,ben nevis,call of duty,asda,messi,jacket,chad,doja cat,eiffel tower,cactus,sand,rose,exhaust,na,english,birthday,hello,drinking_party,football,people still name dances?,nike,taylor,avon,cleaning,harry potter,house of parliament,tenet,euro,toilet,builder,grass,burger,golden retriever,drinking_out
158,61f2adcea09e72f23cbaf96a,34,Male,White,germany,uk,uk,English,between,2,younger,,uk,ford,rainy,churchill,cadbury milk,spain,labour,beer,1999,ant,london,sleeping,walking,autosport,01-Jan,bbc one,daily mail,55,ben nevis,tetris,asda,hamilton,jacket,south africa,who,tower bridge,fern,towel,rose,exhaust,na,english,birthday,we wont get fooled again,drinking_party,football,robot,northface,janet,avon,cleaning,bible,house of parliament,bond,euro,toilet,builder,grass,burger,golden retriever,dancing_out
159,622b8b6947c63363d00dc716,59,Male,White,uk,uk,uk,English,between,1,older,,uk,ford,rainy,churchill,mars,spain,labour,beer,2022,ant,london,sunbathing,running,radio times,01-Jan,bbc one,the sun,1,everest,call of duty,tesco,harry kane,jeans,,,,,,,,,,,god save the king,drinking_party,football,disco,levi's,molly,thames,washing up,bible,buckingham palace,top gun,euro,shower,plumber,grass,burger,boxer,drinking_out
160,622b8b6947c63363d00dc716,59,Male,White,uk,uk,uk,English,within,2,older,,uk,bmw,rainy,churchill,twix,spain,conservative,beer,2022,ant,london,sunbathing,running,radio times,01-Jan,bbc one,times,1,everest,call of duty,tesco,harry kane,jeans,egypt,abba,stonehenge,spider plant,sand,rose,engine,na,english,birthday,jerusalem,drinking_party,football,disco,levi's,elizabeth,thames,washing up,bible,buckingham palace,the godfather,euro,bath,electrician,shed,hotdog,labrador,drinking_out
161,622e282986d38f7f8fb74e93,61,Female,White,uk,uk,uk,English,within,1,older,,france,mini,snowy,the queen,cadbury milk,spain,labour,beer,2020,bee,london,sunbathing,jogging,timeout,10-Oct,itv,guardian,10,ben nevis,super mario,sainsbury's,beckham,dress,nigeria,take that,landsend,money plant,sand,rose,engine,na,english,christmas,white christmas,drinking_party,football,tango,m&s,amy,thames,washing up,bible,house of parliament,avatar,american dollar,soap,lawyer,plants,chips,pug,drinking_out
162,622e282986d38f7f8fb74e93,61,Female,White,uk,uk,uk,English,between,2,older,,france,bently,snowy,the queen,snickers,spain,conservative,wine,1990,bee,london,have fun,workout at the gym,timeout,2020,netflix,times,10,ben nevis,super mario,tesco,beckham,dress,nigeria,rihana,big ben,cactus,sand,rose,engine,na,english,christmas,white christmas,drinking_party,football,salsa,victoria secret,lucy,thames,washing up,harry potter,shard,the shining,american dollar,soap,doctor,plants,chips,pug,drinking_out
163,6266b7a695b41136a3922aeb,57,Male,White,uk,uk,uk,English,within,1,older,,france,ford,rainy,churchill,cadbury milk,spain,labour,beer,2022,bee,london,sunbathing,running,what car,25-Dec,itv,daily mail,1,everest,mario kart,tesco,tyson fury,jeans,kenya,take that,big ben,spider plant,sand,daffodils ,engine,na,math,birthday,my way,drinking_party,football,twist,levi's,adele,thames,ironing,lord of the rings,buckingham palace,star wars,euro,towel,police officer,plants,burger,labrador,dancing_out
164,6266b7a695b41136a3922aeb,57,Male,White,uk,uk,uk,English,between,2,older,,france,audi,rainy,the queen,kinder,spain,conservative,vodka,2021,bee,manchester,swimming,workout at the gym,hello!,01-Jan,netflix,the sun,9,snowdonia,minecraft,aldi,harry kane,jeans,morocco,adele,big ben,busy lizzie,sun bed,tulip,steering wheel,na,english,wedding,hello,drinking_party,football,macarena,armani,adele,thames,washing up,the hobbit,empire state,avatar,euro,toothbrush,police officer,plants,burger,husky,drinking_out
